UniprotID,Protein,mFamilyID,mSuperfamily,mSCOP,Organ
P42582,NKX25_MOUSE,46689,Homeodomain-like,129-196,Blood
P61372,ISL1_MOUSE,46689,Homeodomain-like,170-239,Blood
O70477,PKNX1_MOUSE,46689,Homeodomain-like,259-328,Blood
P97436,NKX31_MOUSE,46689,Homeodomain-like,113-184,Blood
P43120,HHEX_MOUSE,46689,Homeodomain-like,126-197,Blood
Q9JKQ4,IRX5_MOUSE,46689,Homeodomain-like,114-180,Blood
Q64205,DLX3_MOUSE,46689,Homeodomain-like,117-187,Blood
P70321,HXB13_MOUSE,46689,Homeodomain-like,204-275,Blood
Q07424,CDX4_MOUSE,46689,Homeodomain-like,152-229,Blood
P97474,PITX2_MOUSE,46689,Homeodomain-like,78-149,Spleen
P06876,MYB_MOUSE,46689,Homeodomain-like,89-185,Spleen
P06876,MYB_MOUSE,46689,Homeodomain-like,42-96,Spleen
P41778,PBX1_MOUSE,46689,Homeodomain-like,233-301,Spleen
Q9ER42,BARX1_MOUSE,46689,Homeodomain-like,137-200,Spleen
P42582,NKX25_MOUSE,46689,Homeodomain-like,129-196,Spleen
P10284,HXB4_MOUSE,46689,Homeodomain-like,149-219,Spleen
P97334,NKX23_MOUSE,46689,Homeodomain-like,134-204,Spleen
O08755,HNF6_MOUSE,46689,Homeodomain-like,385-456,Spleen
P97503,NKX32_MOUSE,46689,Homeodomain-like,198-265,Spleen
P43345,TLX1_MOUSE,46689,Homeodomain-like,198-262,Spleen
Q63934,PO4F2_MOUSE,46689,Homeodomain-like,344-406,Heart
Q62231,SIX1_MOUSE,46689,Homeodomain-like,122-193,Heart
P17208,PO4F1_MOUSE,46689,Homeodomain-like,353-415,Heart
P48437,PROX1_MOUSE,46689,Homeodomain-like,577-728,Heart
Q9WUI0,MIXL1_MOUSE,46689,Homeodomain-like,82-149,Heart
P97474,PITX2_MOUSE,46689,Homeodomain-like,78-149,Heart
P52955,LBX1_MOUSE,46689,Homeodomain-like,116-182,Heart
P13297,MSX1_MOUSE,46689,Homeodomain-like,154-231,Heart
Q03358,MSX2_MOUSE,46689,Homeodomain-like,122-201,Heart
P70390,SHOX2_MOUSE,46689,Homeodomain-like,136-202,Heart
Q8R1H0,HOP_MOUSE,46689,Homeodomain-like,9-66,Heart
Q62424,HXA13_MOUSE,46689,Homeodomain-like,300-377,Heart
Q9QY61,IRX4_MOUSE,46689,Homeodomain-like,145-211,Heart
Q60954,MEIS1_MOUSE,46689,Homeodomain-like,271-346,Heart
P81067,IRX3_MOUSE,46689,Homeodomain-like,135-198,Heart
Q00288,PAX8_MOUSE,46689,Homeodomain-like,11-133,Heart
P42582,NKX25_MOUSE,46689,Homeodomain-like,129-196,Heart
P24610,PAX3_MOUSE,46689,Homeodomain-like,36-159,Heart
P24610,PAX3_MOUSE,46689,Homeodomain-like,212-285,Heart
Q9WU42,NCOR2_MOUSE,46689,Homeodomain-like,414-479,Heart
Q9WU42,NCOR2_MOUSE,46689,Homeodomain-like,608-658,Heart
P43688,NKX26_MOUSE,46689,Homeodomain-like,109-181,Heart
Q9JKQ4,IRX5_MOUSE,46689,Homeodomain-like,114-180,Heart
P61372,ISL1_MOUSE,46689,Homeodomain-like,170-239,Heart
P97436,NKX31_MOUSE,46689,Homeodomain-like,113-184,Heart
Q5TIS6,NOTO_MOUSE,46689,Homeodomain-like,139-209,Heart
P20263,PO5F1_MOUSE,46689,Homeodomain-like,223-288,Heart
P43120,HHEX_MOUSE,46689,Homeodomain-like,126-197,Heart
Q8BKG3,PTK7_MOUSE,48726,Immunoglobulin,"218-258,286-293,335-400",Lungs
Q8BKG3,PTK7_MOUSE,48726,Immunoglobulin,586-678,Lungs
Q8BKG3,PTK7_MOUSE,48726,Immunoglobulin,404-493,Lungs
Q8BKG3,PTK7_MOUSE,48726,Immunoglobulin,118-212,Lungs
Q8BKG3,PTK7_MOUSE,48726,Immunoglobulin,494-581,Lungs
Q8BKG3,PTK7_MOUSE,48726,Immunoglobulin,23-103,Lungs
P26618,PGFRA_MOUSE,48726,Immunoglobulin,316-414,Lungs
P26618,PGFRA_MOUSE,48726,Immunoglobulin,117-206,Lungs
P26618,PGFRA_MOUSE,48726,Immunoglobulin,222-307,Lungs
P26618,PGFRA_MOUSE,48726,Immunoglobulin,35-107,Lungs
P05622,PGFRB_MOUSE,48726,Immunoglobulin,221-305,Lungs
P05622,PGFRB_MOUSE,48726,Immunoglobulin,330-415,Lungs
P05622,PGFRB_MOUSE,48726,Immunoglobulin,39-107,Lungs
P05622,PGFRB_MOUSE,48726,Immunoglobulin,417-526,Lungs
P35917,VGFR3_MOUSE,48726,Immunoglobulin,672-766,Lungs
P35917,VGFR3_MOUSE,48726,Immunoglobulin,235-334,Lungs
P35917,VGFR3_MOUSE,48726,Immunoglobulin,350-453,Lungs
P35917,VGFR3_MOUSE,48726,Immunoglobulin,569-673,Lungs
P35917,VGFR3_MOUSE,48726,Immunoglobulin,"421-460,499-555",Lungs
P35917,VGFR3_MOUSE,48726,Immunoglobulin,129-223,Lungs
P35917,VGFR3_MOUSE,48726,Immunoglobulin,33-130,Lungs
P16092,FGFR1_MOUSE,48726,Immunoglobulin,255-358,Lungs
P16092,FGFR1_MOUSE,48726,Immunoglobulin,163-249,Lungs
P16092,FGFR1_MOUSE,48726,Immunoglobulin,39-126,Lungs
P21803,FGFR2_MOUSE,48726,Immunoglobulin,256-359,Lungs
P21803,FGFR2_MOUSE,48726,Immunoglobulin,171-250,Lungs
P21803,FGFR2_MOUSE,48726,Immunoglobulin,39-124,Lungs
Q03142,FGFR4_MOUSE,48726,Immunoglobulin,138-240,Lungs
Q03142,FGFR4_MOUSE,48726,Immunoglobulin,246-347,Lungs
Q03142,FGFR4_MOUSE,48726,Immunoglobulin,29-106,Lungs
Q61851,FGFR3_MOUSE,48726,Immunoglobulin,247-350,Lungs
Q61851,FGFR3_MOUSE,48726,Immunoglobulin,156-241,Lungs
Q61851,FGFR3_MOUSE,48726,Immunoglobulin,47-127,Lungs
P35918,VGFR2_MOUSE,48726,Immunoglobulin,663-749,Lungs
P35918,VGFR2_MOUSE,48726,Immunoglobulin,342-425,Lungs
P35918,VGFR2_MOUSE,48726,Immunoglobulin,228-332,Lungs
P35918,VGFR2_MOUSE,48726,Immunoglobulin,"437-462,492-551",Lungs
P35918,VGFR2_MOUSE,48726,Immunoglobulin,547-646,Lungs
P35918,VGFR2_MOUSE,48726,Immunoglobulin,116-220,Lungs
P35918,VGFR2_MOUSE,48726,Immunoglobulin,31-110,Lungs
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7159-7257,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8570-8669,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,944-1036,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,34923-35014,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4625-4723,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7627-7722,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,9041-9133,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5001-5100,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8100-8198,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7346-7441,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7252-7352,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5749-5845,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5563-5662,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8846-8940,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6125-6224,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5843-5940,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7908-8004,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,19305-19399,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4439-4536,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8476-8565,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6585-6683,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4343-4435,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6688-6787,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,26101-26200,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6967-7062,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,34351-34442,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,3509-3600,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8287-8383,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6308-6405,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7534-7625,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6031-6124,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4532-4629,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8193-8293,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,3243-3336,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,9233-9328,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,102-195,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,23937-24036,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8663-8756,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,32322-32418,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,34641-34732,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5936-6032,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6-99,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6218-6316,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5656-5755,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5281-5378,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6781-6876,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7060-7155,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,33583-33675,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4812-4907,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8758-8853,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,33477-33577,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,14066-14159,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6405-6501,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,9344-9435,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5190-5282,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,16176-16274,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,20688-20787,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,21094-21182,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7722-7818,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,15485-15576,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8945-9036,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7816-7912,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5094-5191,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6875-6970,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,7439-7539,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,3348-3439,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,25422-25514,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,18612-18707,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,1295-1386,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,2082-2176,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4907-4997,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,1082-1173,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,1461-1554,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,29069-29160,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,31532-31627,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,32714-32809,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,6498-6595,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8380-8480,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5472-5558,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,24340-24432,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,23258-23350,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,9137-9234,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,8002-8093,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,34163-34254,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,5374-5469,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,25024-25118,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,3056-3149,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,17911-18012,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,1845-1938,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,27184-27281,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,22863-22954,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,9715-9811,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,30444-30536,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,14250-14328,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,19706-19796,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,13807-13899,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,27586-27678,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,21782-21871,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,19994-20091,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,29756-29847,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,17195-17292,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,35118-35211,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,22176-22266,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,9632-9715,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,13452-13538,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,26506-26597,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,30846-30933,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,14607-14696,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,13988-14079,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,1707-1802,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,19015-19104,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,28669-28761,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,12920-13002,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,3625-3717,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,29362-29452,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4251-4344,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,4716-4804,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,1562-1655,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,14165-14249,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,27982-28072,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,14343-14428,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,25821-25911,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,32427-32518,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,31243-31330,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,2803-2887,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,2889-2973,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,13627-13709,Brain
A2ASS6,TITIN_MOUSE,48726,Immunoglobulin,14525-14613,Brain
